iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","78,003,773.25","0.19","78,003,773.25","529,737.00","147.25","United States","NASDAQ","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","77,333,523.33","0.19","77,333,523.33","945,051.00","81.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","77,322,526.38","0.19","77,322,526.38","927,351.00","83.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","76,870,742.18","0.19","76,870,742.18","2,187,868.00","35.13","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","75,924,949.84","0.18","75,924,949.84","444,838.00","170.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","75,592,252.89","0.18","75,592,252.89","459,723.00","164.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","73,965,392.86","0.18","73,965,392.86","6,300,289.00","11.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","73,938,729.15","0.18","73,938,729.15","907,335.00","81.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","73,244,529.13","0.18","73,244,529.13","503,849.00","145.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","73,014,455.52","0.18","73,014,455.52","1,623,987.00","44.96","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","72,707,385.96","0.18","72,707,385.96","700,524.00","103.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","72,535,309.92","0.18","72,535,309.92","730,908.00","99.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","71,337,861.36","0.17","71,337,861.36","1,593,786.00","44.76","United States","NASDAQ","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","71,269,910.53","0.17","71,269,910.53","533,897.00","133.49","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","69,106,467.28","0.17","69,106,467.28","197,656.00","349.63","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","68,899,764.68","0.17","68,899,764.68","927,818.00","74.26","United States","NASDAQ","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","68,709,539.29","0.17","68,709,539.29","226,637.00","303.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","68,565,709.36","0.17","68,565,709.36","985,706.00","69.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","68,214,881.41","0.17","68,214,881.41","253,201.00","269.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","66,757,331.07","0.16","66,757,331.07","3,089,187.00","21.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","65,601,822.11","0.16","65,601,822.11","83,413.00","786.47","United States","NASDAQ","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","64,152,786.15","0.16","64,152,786.15","718,155.00","89.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","63,988,684.10","0.16","63,988,684.10","170,591.00","375.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","63,770,133.77","0.15","63,770,133.77","181,583.00","351.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","62,857,978.66","0.15","62,857,978.66","276,883.00","227.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","62,854,464.47","0.15","62,854,464.47","782,843.00","80.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
